,seen_m1,seen_m2,seen_m3,seen_m4,seen_m5,seen_m6,rate_m1,rate_m2,rate_m3,rate_m4,rate_m5,rate_m6,rate_han,rate_luke,rate_leia,rate_anakin,rate_obiwan,rate_palpatine,rate_vader,rate_lando,rate_boba,rate_c3p0,rate_r2d2,rate_jarjar,rate_padme,rate_yoda,house_income,edu,seen_any_Yes,fan_sw_No,fan_sw_Yes,shot_first_Greedo,shot_first_Han,shot_first_idk,know_eu_No,know_eu_Yes,fan_eu_No,fan_eu_Yes,fan_st_No,fan_st_Yes,gender_Female,gender_Male,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8,region_9,age_min
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0,12.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,18.0
3,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,1.0,2.0,4.0,3.0,2,2,2,2,2,1,2,1,-1,2,2,2,2,2,1.0,14.0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,18.0
4,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,6.0,2.0,1.0,3.0,2,1,1,-1,2,-2,1,0,2,1,1,-2,1,1,1.0,14.0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,18.0
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,6.0,5.0,2.0,2,2,2,2,2,0,2,0,1,1,1,1,0,2,0.0,16.0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,18.0
8,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,6.0,2.0,1.0,3.0,2,-1,1,1,1,2,2,2,2,0,1,-2,-1,1,0.0,14.0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,18.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,0,2,2,2,2,-1,2,-1,-1,2,2,2,-1,2,0.0,14.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,18.0
12,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,1.0,2.0,1,2,1,1,1,1,2,0,1,2,2,2,1,2,0.0,16.0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,18.0
13,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,2.0,3.0,1.0,2,2,2,1,2,0,-2,0,0,2,2,0,2,2,1.0,19.0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,30.0
15,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,3.0,1.0,2.0,2,1,1,-1,2,1,2,1,2,-1,0,-2,-2,1,0.0,14.0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,18.0
16,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,5.0,6.0,0,1,-1,0,-2,1,-1,0,1,0,-1,0,-1,-2,1.0,16.0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,18.0
19,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,4.0,3.0,2.0,2,1,2,2,1,-1,2,-2,2,1,2,-1,2,2,1.0,14.0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,18.0
22,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,3.0,1.0,2.0,2,2,2,0,2,-2,1,1,-1,2,2,-2,0,2,1.0,16.0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,18.0
23,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,4.0,2.0,3.0,5.0,2,1,1,-1,1,1,2,0,0,1,2,1,0,2,0.0,16.0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,18.0
26,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,2.0,3.0,1.0,2,1,1,1,2,1,1,1,2,2,2,-2,1,2,1.0,14.0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,18.0
29,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,2.0,1.0,3.0,2,2,2,-2,2,2,2,2,2,2,2,0,-2,2,1.0,14.0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,18.0
30,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,6.0,2.0,1.0,0,0,0,0,1,0,1,1,1,1,1,-1,0,1,0.0,12.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,30.0
31,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,2.0,1.0,3.0,2,2,2,2,2,2,2,2,2,2,2,-2,2,2,1.0,14.0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,30.0
33,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,3.0,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,12.0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,18.0
35,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,4.0,1.0,2.0,5.0,2,2,2,2,2,1,1,0,2,2,2,-2,2,2,1.0,19.0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,30.0
36,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,6.0,5.0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0.0,16.0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,18.0
38,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,5.0,1.0,4.0,2.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1.0,16.0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,30.0
39,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,2.0,1.0,2,2,2,1,2,-1,2,1,2,2,2,0,2,2,0.0,12.0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,30.0
40,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,2.0,3.0,4.0,1.0,2,2,2,0,2,1,2,2,0,2,2,-2,0,2,1.0,19.0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,30.0
41,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,2.0,1.0,3.0,2,2,2,1,2,1,2,2,2,1,1,1,1,2,1.0,19.0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,30.0
42,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,4.0,2.0,1.0,3.0,2,2,2,1,2,1,1,1,2,-1,1,-2,1,0,0.0,16.0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,18.0
43,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,2.0,1.0,3.0,2,2,2,1,2,1,2,1,1,2,2,-2,2,2,1.0,16.0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,18.0
44,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,4.0,3.0,2.0,1.0,2,2,2,1,1,1,1,1,1,1,1,0,-1,1,0.0,12.0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,18.0
47,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,6.0,3.0,1.0,2.0,2,2,2,-1,2,-2,-2,-1,-2,2,2,2,2,2,1.0,14.0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,30.0
48,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,1.0,2.0,3.0,2,2,2,0,1,0,-1,0,-1,1,1,-2,0,2,1.0,14.0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,18.0
50,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,3.0,1.0,2.0,2,1,2,1,2,1,2,0,2,0,2,-2,1,2,1.0,16.0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,18.0
52,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,6.0,2.0,3.0,2,2,2,2,2,1,2,2,1,1,2,1,1,2,1.0,14.0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,30.0
53,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,4.0,2.0,1.0,3.0,2,2,2,1,1,1,1,1,1,1,1,-1,-2,1,0.0,12.0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,18.0
54,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,2.0,1.0,3.0,2,1,1,1,2,1,2,1,2,0,1,0,0,1,1.0,14.0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,18.0
56,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,2.0,1.0,3.0,2,2,2,1,2,2,2,2,2,2,2,-2,1,2,1.0,16.0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,18.0
57,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,5.0,3.0,1.0,2.0,2,1,1,0,0,0,1,0,1,2,1,-2,-1,1,1.0,19.0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,18.0
58,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,5.0,3.0,1.0,2.0,2,2,2,-2,2,1,2,2,2,2,2,-2,2,2,0.0,12.0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,18.0
59,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,6.0,1.0,3.0,2.0,1,1,1,1,2,0,-2,0,2,-1,2,-2,1,1,1.0,16.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,18.0
60,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,2.0,3.0,1.0,4.0,2,2,2,-1,1,0,2,-1,2,-2,1,0,0,0,1.0,16.0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,18.0
61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,1.0,19.0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,30.0
62,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,2.0,1.0,3.0,2,2,2,1,2,1,2,2,2,1,2,0,0,2,1.0,14.0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,18.0
63,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,2.0,1.0,3.0,2,2,2,-1,2,-2,-1,-1,-1,2,2,-2,1,2,1.0,14.0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,30.0
64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1,1,1,1,2,0,2,0,0,0,1,0,0,1,0.0,14.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,18.0
65,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,2.0,1.0,3.0,1,0,1,0,1,-1,2,1,2,1,2,-1,1,2,1.0,14.0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,18.0
66,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,3.0,4.0,2.0,2,2,2,1,2,2,2,2,2,2,2,-1,1,2,1.0,14.0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,18.0
67,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,2.0,4.0,3.0,1.0,2,2,2,1,2,0,2,0,1,1,1,-2,0,1,0.0,19.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,18.0
68,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,4.0,2.0,1.0,3.0,2,1,1,-2,2,2,2,2,1,0,0,-2,-1,1,0.0,14.0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,18.0
69,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,6.0,2.0,1.0,2,2,2,-1,0,1,2,2,0,2,-2,0,2,2,1.0,19.0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,30.0
70,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,5.0,2.0,1.0,3.0,2,1,2,-1,2,0,1,1,1,2,2,0,-1,1,1.0,19.0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,30.0
71,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,3.0,2.0,1.0,2,1,1,1,1,1,1,0,1,1,2,-2,1,2,1.0,16.0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,18.0
72,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,2.0,4.0,1.0,3.0,2,2,2,1,2,2,2,2,2,2,2,-2,2,2,1.0,19.0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,18.0
73,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,2.0,3.0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0.0,16.0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,18.0
74,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,2.0,3.0,1.0,2,1,2,0,1,0,0,0,-1,2,2,2,1,2,1.0,12.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,30.0
75,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,1.0,2.0,2,2,2,2,2,0,1,0,-1,2,2,-1,-1,2,1.0,14.0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,30.0
76,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,1.0,2.0,1,2,2,1,1,0,-1,0,-1,1,1,1,0,2,1.0,16.0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,30.0
78,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,6.0,1.0,2.0,3.0,2,2,2,1,2,0,2,1,2,1,2,-2,0,1,1.0,16.0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,30.0
79,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,1.0,2.0,3.0,2,2,2,-1,2,0,-2,1,-2,1,1,-2,2,2,1.0,19.0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,30.0
81,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,3.0,2.0,1.0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1.0,14.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,60.0
83,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,2.0,3.0,1.0,2,2,2,1,2,-2,-2,2,-2,2,2,-2,2,2,1.0,19.0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,60.0
85,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,3.0,2.0,1.0,4.0,2,2,2,2,2,2,2,1,1,2,2,-2,1,2,0.0,14.0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,30.0
88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,6.0,5.0,2.0,2,1,1,0,1,0,0,0,-1,0,1,-1,0,2,1.0,19.0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,60.0
90,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,6.0,2.0,3.0,1.0,2,0,0,0,0,0,1,0,0,-1,0,-2,0,1,0.0,16.0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,30.0
93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,0,1,1,2,2,0,2,-1,0,2,2,0,0,0,1.0,12.0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,30.0
94,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,3.0,2.0,1.0,2,2,2,2,2,-2,-2,0,0,2,2,0,0,2,1.0,12.0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,60.0
95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,3.0,6.0,2,2,0,1,2,0,2,2,0,2,2,0,0,2,1.0,16.0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,60.0
97,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,1.0,3.0,2.0,2,2,2,1,2,2,2,1,2,2,2,-2,1,2,1.0,16.0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,30.0
98,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,2.0,1.0,4.0,2,2,1,1,2,-1,2,-1,0,2,2,-1,1,2,1.0,16.0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,30.0
99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,2,2,2,0,0,0,2,0,0,2,2,0,0,2,1.0,16.0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,60.0
100,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,5.0,1.0,4.0,2,2,2,2,2,0,2,0,0,2,2,0,0,1,1.0,14.0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,60.0
101,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,1.0,3.0,2.0,2,2,2,0,2,0,2,0,0,0,1,-2,1,2,1.0,16.0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,60.0
102,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,6.0,2.0,1.0,1,1,1,1,1,1,1,1,0,0,0,-1,1,2,0.0,19.0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,30.0
106,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,2.0,3.0,2,0,1,0,1,0,1,1,-1,0,0,0,0,1,1.0,14.0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,60.0
108,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,6.0,0,2,2,0,2,0,-2,0,0,2,2,2,0,0,0.0,14.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,60.0
109,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,2.0,1.0,1,2,2,0,1,0,2,0,1,2,2,0,0,2,1.0,12.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,30.0
110,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,2.0,4.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,14.0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,30.0
111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,2.0,3.0,2,1,1,0,2,0,-2,0,0,2,2,-2,0,1,1.0,16.0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,60.0
112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,2,1,1,0,2,0,-1,0,0,2,2,0,0,1,0.0,19.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,60.0
113,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,1.0,3.0,6.0,2,2,2,1,2,1,2,1,1,2,2,1,1,2,1.0,14.0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,30.0
114,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,1.0,2.0,2,2,2,1,1,0,2,0,0,2,2,0,0,1,1.0,19.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,30.0
116,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,2.0,1.0,2,2,2,1,1,0,2,0,0,2,2,2,0,-1,0.0,16.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,30.0
117,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,1.0,2.0,5.0,2,2,2,1,1,2,2,1,1,2,2,1,2,2,0.0,19.0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,30.0
120,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,6.0,1.0,2.0,2,2,2,2,2,0,1,0,0,0,1,0,0,1,1.0,14.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,30.0
