,seen_m1,seen_m2,seen_m3,seen_m4,seen_m5,seen_m6,rate_m1,rate_m2,rate_m3,rate_m4,rate_m5,rate_m6,rate_han,rate_luke,rate_leia,rate_anakin,rate_obiwan,rate_palpatine,rate_vader,rate_lando,rate_boba,rate_c3p0,rate_r2d2,rate_jarjar,rate_padme,rate_yoda,house_income,edu,seen_any_Yes,fan_sw_No,fan_sw_Yes,shot_first_Greedo,shot_first_Han,shot_first_idk,know_eu_No,know_eu_Yes,fan_eu_No,fan_eu_Yes,fan_st_No,fan_st_Yes,gender_Female,gender_Male,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8,region_9,age_min
282,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,2.0,4.0,3.0,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0.0,16.0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,45.0
283,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,2.0,3.0,2,1,1,-2,2,0,2,1,0,2,2,-2,0,2,1.0,16.0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,30.0
284,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,6.0,1.0,3.0,2.0,2,2,2,-1,2,-2,0,1,-2,1,1,1,1,2,0.0,12.0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,30.0
285,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,2.0,1.0,3.0,2,2,2,-1,2,-1,-2,2,0,2,2,2,1,2,0.0,14.0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,60.0
287,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,2.0,1.0,3.0,2,2,2,1,1,0,-2,0,0,2,2,0,0,2,1.0,16.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,30.0
289,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,6.0,-1,1,1,1,2,1,2,1,1,1,2,2,1,2,1.0,16.0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,18.0
291,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,5.0,1.0,2.0,3.0,2,2,2,0,2,-1,0,-1,0,1,1,-1,-1,0,1.0,16.0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,45.0
294,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,1.0,2.0,1,1,1,0,1,0,-1,0,0,2,2,-2,0,1,1.0,19.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,45.0
295,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,6.0,1.0,2.0,1,2,0,-1,0,0,2,0,0,1,2,0,0,1,0.0,14.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,30.0
297,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,1.0,2.0,1,2,2,-1,2,0,-2,0,0,2,2,0,0,2,1.0,19.0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,45.0
298,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,1.0,2.0,3.0,2,2,2,-2,2,0,1,-1,-1,1,1,0,2,2,1.0,19.0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,30.0
299,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0.0,19.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,18.0
302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,2,2,2,2,2,2,-1,0,0,2,2,2,2,2,1.0,19.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,45.0
305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,14.0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,45.0
307,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,6.0,5.0,2.0,2,2,2,2,2,1,2,1,1,2,2,0,0,2,1.0,19.0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,45.0
309,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,3.0,1.0,2.0,1,1,1,0,2,2,1,2,1,1,1,0,1,1,0.0,16.0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,18.0
311,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,6.0,5.0,4.0,2,1,1,2,2,-2,1,0,1,1,1,0,2,2,0.0,16.0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,18.0
313,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,3.0,1.0,4.0,2.0,2,2,1,1,1,-1,1,0,-1,2,1,0,0,1,1.0,16.0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,30.0
315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,6.0,2.0,3.0,1,1,1,1,2,0,1,1,0,1,2,1,0,1,1.0,16.0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,60.0
316,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,2.0,1.0,2,2,2,2,2,1,2,0,0,2,2,0,0,2,0.0,16.0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,45.0
317,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,1,2,2,2,0,0,2,0,0,0,2,2,2,2,1.0,14.0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,30.0
318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,2.0,6.0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1.0,14.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,60.0
320,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,5.0,2.0,1.0,3.0,2,2,2,1,2,1,2,2,2,1,1,-2,0,1,1.0,16.0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,30.0
323,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,6.0,2.0,1.0,1,1,-2,2,0,0,2,0,-1,-1,0,0,0,0,1.0,19.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,45.0
325,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,6.0,0,2,2,0,0,0,-1,0,0,2,2,0,0,0,1.0,14.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,45.0
328,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,6.0,1.0,2.0,2,2,0,0,2,0,2,2,0,2,2,0,0,2,0.0,14.0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,60.0
330,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,5.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,18.0
331,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,2.0,3.0,2,2,2,2,2,0,2,0,0,2,2,-2,0,2,0.0,16.0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,45.0
332,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,1.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,16.0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,60.0
333,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,6.0,2.0,1.0,2,-1,0,-2,1,0,1,-1,-2,0,0,-2,0,1,0.0,14.0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,45.0
334,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,3.0,2.0,5.0,1.0,2,0,1,1,2,0,2,0,0,2,2,-1,1,2,1.0,19.0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,45.0
335,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,6.0,2,2,2,2,2,0,2,0,0,2,2,0,0,2,0.0,14.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,45.0
336,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,1.0,2.0,2,1,0,1,0,0,0,2,-1,1,1,-1,-1,0,0.0,16.0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,45.0
339,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,2.0,1.0,2,2,2,1,2,1,1,0,0,1,1,2,2,2,1.0,16.0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,45.0
340,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,3.0,2.0,2,2,2,2,2,-2,-2,0,-1,1,2,-2,2,2,1.0,16.0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,45.0
342,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,1.0,2.0,1,1,1,0,1,0,-2,0,0,1,1,0,0,1,1.0,16.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,45.0
345,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,3.0,2.0,1.0,2,2,0,2,2,0,0,2,1,2,2,-1,0,2,1.0,16.0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,45.0
346,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,2.0,3.0,2,2,1,1,2,0,1,-1,1,1,2,-1,1,2,0.0,16.0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,18.0
347,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,16.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,45.0
348,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,6.0,1,1,1,1,1,0,0,0,0,0,0,0,0,2,0.0,16.0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,45.0
349,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,3.0,1.0,2.0,2,1,1,-1,2,0,1,1,1,0,1,-2,0,1,1.0,12.0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,30.0
350,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,4.0,3.0,2.0,2,2,1,2,2,2,1,0,0,1,2,-2,0,2,1.0,19.0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,30.0
351,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,1.0,2.0,2,2,2,1,2,0,-1,2,-1,2,2,0,1,2,1.0,14.0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,60.0
354,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,6.0,1.0,2.0,2,2,2,1,2,0,-1,-1,0,2,2,1,1,2,1.0,16.0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,45.0
356,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,6.0,4.0,5.0,1,1,1,2,2,-1,0,0,0,1,2,1,2,2,0.0,12.0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,30.0
357,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,6.0,1.0,2.0,2,1,0,1,1,0,2,-1,0,0,0,1,1,1,1.0,16.0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,45.0
359,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,1.0,2.0,6.0,2,2,2,2,2,0,-1,0,1,2,2,0,0,2,1.0,19.0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,60.0
360,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,1.0,2.0,2,2,2,2,2,0,2,0,0,1,1,0,0,2,1.0,12.0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,45.0
364,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,1.0,2.0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1.0,16.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,30.0
365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,-1,-2,-2,-2,-2,-1,1,0,0,-2,-2,0,0,-2,1.0,14.0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,45.0
366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,2,2,2,0,1,0,0,1,0,1,1,0,0,1,0.0,16.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,60.0
368,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,6.0,1.0,2.0,2,1,1,1,2,1,2,1,2,2,2,1,1,2,1.0,16.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,60.0
369,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,6.0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0.0,19.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,18.0
370,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,3.0,5.0,1.0,1,1,0,-1,1,-2,-2,-1,-1,1,1,0,0,1,0.0,16.0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,30.0
373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,0,2,2,0,2,0,2,0,0,0,0,0,0,2,0.0,14.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,60.0
374,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,2.0,6.0,1.0,1,2,2,1,1,-1,1,0,0,1,1,1,2,2,0.0,14.0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,30.0
376,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,1.0,2.0,3.0,2,2,2,-2,2,-2,-2,1,-1,2,2,-2,-1,2,1.0,19.0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,45.0
381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,0,2,2,2,2,0,2,0,2,2,2,2,2,2,0.0,19.0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,18.0
382,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,2,2,2,2,2,2,-2,-2,-2,2,2,0,-2,2,1.0,12.0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,45.0
384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.5,4.0,5.0,3.0,2,1,0,0,2,-1,2,0,2,2,2,2,1,2,1.0,16.0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,30.0
388,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,2.0,3.0,2,1,1,1,2,-2,-2,1,0,2,2,-1,1,2,1.0,19.0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,30.0
389,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,2.0,3.0,2,2,2,2,2,1,2,0,1,2,2,1,2,2,1.0,19.0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,45.0
391,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,2.0,1.0,0,2,2,0,2,0,0,0,0,0,2,0,0,2,1.0,19.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,30.0
392,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,6.0,1.0,3.0,2.0,2,2,2,0,2,-1,2,1,1,2,2,1,-1,2,1.0,19.0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,45.0
393,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,6.0,1.0,2.0,1,1,2,1,1,1,2,1,1,2,2,0,0,2,0.0,14.0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,45.0
395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,14.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,60.0
396,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,2.0,1.0,2,1,2,1,1,0,1,0,0,2,2,1,1,2,0.0,14.0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,18.0
397,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,2.0,3.0,2,2,2,1,2,0,0,0,0,2,2,0,1,2,1.0,16.0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,45.0
399,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,5.0,2.0,1.0,3.0,2,1,1,0,2,-1,2,0,1,2,2,-2,0,2,1.0,19.0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,30.0
400,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,1.0,2.0,3.0,2,1,1,-2,2,2,2,2,0,1,1,-2,-1,1,1.0,16.0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,18.0
402,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,2.0,1.0,3.0,2,2,2,1,2,-1,1,1,1,1,2,-1,1,2,1.0,16.0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,30.0
403,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,3.0,1.0,2.0,2,1,1,-1,2,1,2,1,2,1,1,-2,0,2,1.0,16.0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,30.0
404,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,1.0,2.0,2,2,2,0,2,2,2,0,0,2,2,0,0,2,0.0,19.0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,30.0
405,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,2.0,3.0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1.0,14.0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,45.0
411,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,5.0,3.0,1.0,2.0,2,2,-1,0,2,0,2,1,1,-1,2,-2,0,2,0.0,16.0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,30.0
412,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,4.0,1.0,2.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,16.0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,45.0
415,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,1.0,2.0,2,2,2,2,2,2,2,0,0,2,2,-2,0,2,1.0,19.0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,60.0
416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,2,2,2,2,2,2,-2,1,1,1,1,2,1,2,0.0,14.0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,60.0
418,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,2.0,3.0,2,2,2,1,2,0,2,1,0,2,2,0,0,2,1.0,16.0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,45.0
419,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,3.0,1.0,2.0,2,2,2,1,2,-1,1,1,1,2,2,0,0,2,1.0,19.0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,45.0
422,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,6.0,3.0,1.0,2,2,2,2,2,1,2,2,0,1,2,-2,1,2,1.0,14.0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,45.0
423,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,5.0,4.0,1.0,2,2,2,-1,2,-2,-2,1,-2,2,2,-2,1,2,0.0,14.0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,45.0
424,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,5.0,6.0,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1.0,19.0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,45.0
425,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,2.0,1.0,6.0,2,2,2,2,2,-1,1,1,-1,2,2,-2,1,2,1.0,16.0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,45.0
426,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,3.0,2.0,1,1,0,0,2,0,-2,0,0,2,1,0,0,0,1.0,16.0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,45.0
